Champion,Role,Win Percent,Play Percent,Ban Rate,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Gold Earned
Vel'Koz,Support,0.5051903114186851,0.014664622865902002,0.0009915957503039273,4.006055363321799,5.976643598615917,8.447231833910035,5,17665,13173,1034,44.21020761245675,8415
Gragas,Jungle,0.46954986760812,0.014372852687774194,0.00022834187853480628,4.766107678729038,5.41747572815534,8.219770520741395,6,13888,26330,11293,27.498676081200355,9606
Rammus,Jungle,0.5026642984014209,0.014284053068343992,0.0027781595221734764,4.381882770870337,5.534635879218473,10.341918294849023,7,12796,28056,8135,31.16785079928952,10035
Kai'Sa,Support,0.4950936663693131,0.01422062476875099,0.0019282203076272531,3.4237288135593222,2.9723461195361285,3.0517395182872433,5,7093,8096,1310,112.30776092774309,6683
Jayce,Top,0.47636039250669043,0.01422062476875099,0.0012453089486759343,5.807314897413024,6.140053523639607,6.12221231043711,7,20853,19726,2083,182.07582515611062,11706
Taric,Support,0.5350089766606823,0.014131825149320787,0.0009133675141392251,1.4766606822262118,5.000897666068223,12.953321364452425,3,5142,16293,9338,32.447037701974864,7112
Irelia,Middle,0.4618149146451033,0.014119139489402188,0.007827052169776414,7.677448337825696,7.013477088948787,5.242587601078167,6,18652,27571,6849,194.16082659478886,12419
Yasuo,ADC,0.48375451263537905,0.014055711189809186,0.04050954067339711,7.268050541516246,6.903429602888087,6.912454873646209,8,17682,21325,4530,181.99909747292418,12372
Jax,Jungle,0.5064456721915286,0.013776626671599977,0.009338759976742958,6.4779005524861875,5.838858195211786,5.718232044198895,6,15217,27154,9047,67.4548802946593,11301
Kayle,Top,0.48515769944341375,0.013675141392251176,0.00047359797029441304,5.449907235621521,5.77365491651206,5.996289424860853,6,19018,21118,8394,189.89888682745826,12006
Sion,Top,0.5066287878787878,0.013396056874041967,0.00016491357894180453,4.980113636363637,6.069128787878788,7.452651515151516,6,19620,33965,3152,177.0748106060606,11337
Viktor,Middle,0.4835589941972921,0.01311697235583276,0.00030657011469950845,6.235976789168278,5.532882011605416,6.937137330754352,6,23520,16751,2129,183.9825918762089,11669
Akali,Top,0.4728682170542636,0.013091601035995559,0.005708546963370157,6.873062015503876,5.808139534883721,4.709302325581396,6,19002,24146,6894,164.00968992248062,10982
Vel'Koz,Middle,0.5154228855721393,0.01274908821819335,0.0009915957503039273,6.4368159203980095,5.3104477611940295,7.65771144278607,5,24224,15789,1372,173.14228855721393,11443
Veigar,Middle,0.4984984984984985,0.012672974258681748,0.0009027961308737248,7.1441441441441444,5.927927927927928,6.531531531531532,7,20479,17384,1910,171.26026026026025,11698
Qiyana,Middle,0.4894472361809045,0.012622231619007346,0.0011861092023891327,8.6,6.766834170854271,6.392964824120603,7,20354,21441,4166,150.38492462311558,11529
Azir,Middle,0.4511201629327902,0.012457318040065541,0.00043554099053861196,5.639511201629328,6.081466395112017,6.490835030549898,6,19518,18900,2154,181.4938900203666,11563
Annie,Middle,0.5405405405405406,0.012203604841693534,0.0009239388974047254,7.481288981288981,6.079002079002079,7.751559251559252,6,22157,18083,2319,157.512474012474,11474
Xin Zhao,Jungle,0.5119667013527576,0.012190919181774935,0.00021565621861620592,5.772112382934443,6.069719042663892,7.117585848074922,6,14004,29331,14696,29.093652445369408,10212
Illaoi,Top,0.4653361344537815,0.012076748242507531,0.0036407843966383,5.034663865546219,6.373949579831932,4.59453781512605,5,22842,30620,8894,191.03781512605042,11517
Xerath,Middle,0.4682875264270613,0.01200063428299593,0.001059252603203129,6.516913319238901,5.020084566596195,8.590909090909092,7,24771,14921,1289,172.69661733615223,11500
Malzahar,Middle,0.5155412647374062,0.011835720704054125,0.0028521592050319783,4.986066452304394,5.601286173633441,7.896034297963558,6,20436,15607,1136,187.84458735262595,11753
Quinn,Top,0.5091693635382956,0.011759606744542522,0.0022791902320418627,6.743257820927724,7.010787486515642,6.2599784250269686,7,20552,20576,1372,164.34196332254584,11693
Galio,Support,0.509825327510917,0.011620064485437918,0.0034208996247158943,2.6299126637554586,4.703056768558952,8.786026200873362,4,9153,15329,1251,63.193231441048034,7063
